,RUNDATE,FY,FM,DOCID,CHKSUBTOT,VCODE,VENDOR,ZIP5,FTYP,FUNDTYPE,DPT,DEPARTMENT,ACTV,ACTIVITY,OGRP,OBJECTGROUP,OBJ,OBJECT,COMM,COMMODITYDSCR,INVOICEDATE,INVOICENUMBER
113923,2024-11-22,2025,2,EFT-BMS-EY250012376,664623.0,518741,Houston Freightliner Inc.,77029,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,SS02,Residential Garbage Collection,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
113957,2024-11-22,2025,2,EFT-BMS-EY250012414,694757.23,VC21437,Douglas Dailey Construction Llc,75125,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
114043,2024-11-22,2025,2,EFT-BMS-EY250012499,375883.0,VC30229,Collin Central Appraisal District,75069,GNFD,General Fund,BMS,Office of Budget,OF02,Dallas County Appraisal District (Contract),QV,Contractual & Other Services,3079,Appraisal Dist Support,91814.0,APPRAISALS CONSULTING,,
114104,2024-11-22,2025,2,EFT-BMS-EY250012560,449528.69,VS0000082137,"Landmark Structures I, L.P.",76177,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,RC,Capital Outlay,4720,Mach Tools Implem  Major,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
114122,2024-11-22,2025,2,EFT-BMS-EY250012567,628171.89,VS95224,"Thalle Construction Company,Inc.",27278,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
114166,2024-11-22,2025,2,EFT-BMS-EY250012611,685875.0,VC14933,"Dg Investment Intermediate Holdings 2, Inc.",75006,GNFD,General Fund,DPD,Dallas Police Dept,DP35,Police Headquarters Management,QV,Contractual & Other Services,3210,Repair&Maint Ser Bldg Etc,93637.0,"GATES, ELECTRIC (CARD READER, ETC.) MAINTENANCE AND REPAIR",,
114344,2024-11-25,2025,2,AD-BMS-AY250002892,1570296.01,VC29970,"Je Dunn-Russell, A Joint Venture",75254,OTPK,Other Park Recreation,PKR,Park & Recreation,FPRK,Fair Park Development,RC,Capital Outlay,4310,Buildings,95826.0,CONSTRUCTION MANAGEMENT SERVICES,,
114345,2024-11-25,2025,2,AD-BMS-AY250002892,2295306.79,VC29970,"Je Dunn-Russell, A Joint Venture",75254,OTDB,Other GO CIP  - Debt,PKR,Park & Recreation,FPRK,Fair Park Development,RC,Capital Outlay,4310,Buildings,95826.0,CONSTRUCTION MANAGEMENT SERVICES,,
114370,2024-11-25,2025,2,EFT-BMS-EY250012772,5940862.0,009922,Dallas Central Appraisal District,75247,GNFD,General Fund,BMS,Office of Budget,OF02,Dallas County Appraisal District (Contract),QV,Contractual & Other Services,3079,Appraisal Dist Support,91814.0,APPRAISALS CONSULTING,,
114384,2024-11-25,2025,2,EFT-BMS-EY250012785,2676251.66,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4330,Sewage Disposal Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
114440,2024-11-25,2025,2,EFT-BMS-EY250012837,1473722.58,519741,The Dallas Convention & Visitors Bureau,75201,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3320,Advertising,,NONE,,
114465,2024-11-25,2025,2,EFT-BMS-EY250012863,1692794.07,VC22987,Dallas Tourism Public Improvement District Corporation,75201,OTEC,Other-Economic Development,ECO,Office Of Economic Development,PIDC,Public Improvement District Collections,QV,Contractual & Other Services,3034,Public Improvement District Mgmt Fee,,NONE,,
114902,2024-11-26,2025,2,EFT-BMS-EY250013207,547592.84,345379,Omega Contracting Llc,75212,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,QV,Contractual & Other Services,3210,Repair&Maint Ser Bldg Etc,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
114922,2024-11-26,2025,2,EFT-BMS-EY250013228,348183.5,517577,Housing Forward,75204,CVID,COVID-19,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
114971,2024-11-26,2025,2,EFT-BMS-EY250013277,325086.2,VC21399,"Treg Erosion Control Specialists, Llc",76185,OTDB,Other GO CIP  - Debt,SDM,Stormwater Drainage Management,SD01,Storm Water Drainage Management,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
114974,2024-11-26,2025,2,EFT-BMS-EY250013279,331224.15,VC22277,"Western Municipal Construction Of Texas, Llc",76247,CVID,COVID-19,DWU,Water Utilities,DW01,Water Treatment,RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
115002,2024-11-26,2025,2,EFT-BMS-EY250013306,330351.0,VC28210,"Itineris Na, Inc",30068,WTRC,Water Capital Program,DWU,Water Utilities,SCOR,"Service Centers, Offices And Research Facilities",QV,Contractual & Other Services,3438,Software Maint Fee,94610.0,ACCOUNTING AND BILLING SERVICES (INCLUDING PAYROLL SERVICES),,
115003,2024-11-26,2025,2,EFT-BMS-EY250013307,314620.0,VC28210,"Itineris Na, Inc",30068,WTRC,Water Capital Program,DWU,Water Utilities,DW21,Water Utilities Customer Account Services,QV,Contractual & Other Services,3438,Software Maint Fee,94610.0,ACCOUNTING AND BILLING SERVICES (INCLUDING PAYROLL SERVICES),,
115055,2024-11-26,2025,2,EFT-BMS-EY250013359,363045.16,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
115057,2024-11-26,2025,2,EFT-BMS-EY250013361,445882.26,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,RWPT,Raw Water Pumping And Transmission,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
115156,2024-11-26,2025,2,EFT-BMS-EY250013455,400034.33,VS95224,"Thalle Construction Company,Inc.",27278,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
115173,2024-11-26,2025,2,EFT-BMS-EY250013472,466011.45,VS97685,"All City Management Services, Inc.",90084,GNFD,General Fund,MSH,City Marshal's Office,3065,Security Services,QV,Contractual & Other Services,3070,Professional Services,92471.0,SCHOOL OPERATION AND MANAGEMENT SERVICES,,
115175,2024-11-26,2025,2,EFT-BMS-EY250013474,673193.75,VS98529,Joel Brown & Co. Llc,75204,BP17,2017 General Obligation Bond Program,PKR,Park & Recreation,RFSI,Recreation Facilities Site Improvement,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
115405,2024-11-27,2025,2,EFT-BMS-EY250013632,1103643.0,068563,Trinity River Authority Of Tx,76004,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW04,Wastewater Treatment,QV,Contractual & Other Services,3083,Ww Treatment- Tra,,NONE,,
115436,2024-11-27,2025,2,EFT-BMS-EY250013661,373883.14,345379,Omega Contracting Llc,75212,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
115598,2024-11-27,2025,2,EFT-BMS-EY250013816,383290.83,VS0000063711,"Merrell Bros., Inc.",46901,OTGO,Other GO CIP - Non-Debt,SDM,Stormwater Drainage Management,SD01,Storm Water Drainage Management,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
115848,2024-12-02,2025,3,AD-BMS-AY250003257,526688.0,014003,Dallas County,75202,GNFD,General Fund,DPD,Dallas Police Dept,DP02,Police Investigation Of Crimes Against Persons,QV,Contractual & Other Services,3040,Medical & Laboratory Serv,96140.0,FORENSIC SERVICES,,
115849,2024-12-02,2025,3,AD-BMS-AY250003258,442369.33,254643,Dallas County Health & Human,75207,CNPL,Consolidated Plan Funds,MGT,Management Services,EH20,Aids Services,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
115932,2024-12-02,2025,3,EFT-BMS-EY250014123,396120.54,517577,Housing Forward,75204,CVID,COVID-19,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
116010,2024-12-02,2025,3,EFT-BMS-EY250014201,886700.0,VS0000056445,Bode Cellmark Forensics Inc.,22079,GNFD,General Fund,DPD,Dallas Police Dept,DP02,Police Investigation Of Crimes Against Persons,QV,Contractual & Other Services,3040,Medical & Laboratory Serv,96140.0,FORENSIC SERVICES,,
116239,2024-12-03,2025,3,AD-BMS-AY250003310,1145775.52,500425,"Satterfield & Pontikes Construction, Inc",75234,FDGT,Federal Grant (non Consolidated Plan),AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
116240,2024-12-03,2025,3,AD-BMS-AY250003310,1849716.03,500425,"Satterfield & Pontikes Construction, Inc",75234,AVIC,Aviation Capital Program,AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
116321,2024-12-03,2025,3,EFT-BMS-EY250014485,896667.37,507202,"Syb Construction Co., Inc. ^",75061,BP17,2017 General Obligation Bond Program,SDM,Stormwater Drainage Management,ERCT,Erosion Control,RC,Capital Outlay,4599,Other Improvements-other than Building,91345.0,"CONSTRUCTION, SEWER AND STORM DRAIN",,
116349,2024-12-03,2025,3,EFT-BMS-EY250014514,850279.01,VC19296,"Tpg Pressure, Inc.",92377,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,RC,Capital Outlay,4720,Mach Tools Implem  Major,65834.0,"PIPE, CONCRETE",,
116481,2024-12-03,2025,3,EFT-BMS-EY250014643,513107.11,VS0000075903,"Hammett Excavation, Inc",75438,SANC,Sanitation Capital Program,SAN,Sanitation Svcs,SWFA,Solid Waste Facilities,RC,Capital Outlay,4599,Other Improvements-other than Building,91223.0,"CONSTRUCTION, GENERAL (BACKFILL SERVICES, DIGGING, DITCHING,",,
116482,2024-12-03,2025,3,EFT-BMS-EY250014644,765090.12,VS0000075903,"Hammett Excavation, Inc",75438,SANC,Sanitation Capital Program,SAN,Sanitation Svcs,SWFA,Solid Waste Facilities,RC,Capital Outlay,4599,Other Improvements-other than Building,91223.0,"CONSTRUCTION, GENERAL (BACKFILL SERVICES, DIGGING, DITCHING,",,
117638,2024-12-06,2025,3,AD-BMS-AY250003538,476286.25,VS0000018993,"Tetra Tech, Inc.",32751,EFOP,Enterprise Operating Fund,SAN,Sanitation Svcs,,Miscellaneous,QV,Contractual & Other Services,3072,Contractor Service Fees,99029.0,DISASTER PREPAREDNESS/EMERGENCY PLANNING SERVICES,,
117692,2024-12-06,2025,3,EFT-BMS-EY250015736,424603.76,349633,Texas Commission On Environmental Quality,78711,EFOP,Enterprise Operating Fund,SAN,Sanitation Svcs,,Miscellaneous,QV,Contractual & Other Services,3460,Disposal Services,,NONE,,
117713,2024-12-06,2025,3,EFT-BMS-EY250015763,778231.47,970352,Sabine River Authority Of Tx,75472,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
117715,2024-12-06,2025,3,EFT-BMS-EY250015765,319776.38,VC0000010239,"Wrg, Llc",75007,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW20,Water's Price of Doing Business,QM,Supplies & Materials,2710,Furniture & Fixtures,42044.0,"INSTITUTIONAL FURNITURE, ALL TYPES",,
117766,2024-12-06,2025,3,EFT-BMS-EY250015814,878168.45,VC28897,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
117767,2024-12-06,2025,3,EFT-BMS-EY250015815,441489.17,VC28899,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
117834,2024-12-06,2025,3,EFT-BMS-EY250015882,434517.0,VS0000078405,Caldwell Country Ford Llc.,76567,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW06,Wastewater Collection System Maintenance,RC,Capital Outlay,4890,Miscellaneous Equipment Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
118591,2024-12-10,2025,3,AD-BMS-AY250003831,500000.0,VS101095,"Asana Partners Select Retail Fund, Lp",28203,OTGO,Other GO CIP - Non-Debt,ECO,Office Of Economic Development,SATI,Sports Arena Tax Increment Financing District,QV,Contractual & Other Services,3016,Economic Development Grant,96100.0,"MISCELLANEOUS SERVICES, NO. 1",,
118683,2024-12-10,2025,3,EFT-BMS-EY250016507,1990907.2,243551,Rebcon Llc,76011,WTRC,Water Capital Program,DWU,Water Utilities,WTRS,Water Supply Reservoirs And Dams,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
118716,2024-12-10,2025,3,EFT-BMS-EY250016539,718975.25,345379,Omega Contracting Llc,75212,OTGO,Other GO CIP - Non-Debt,SDM,Stormwater Drainage Management,SD01,Storm Water Drainage Management,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
118813,2024-12-10,2025,3,EFT-BMS-EY250016637,1258480.0,VC28210,"Itineris Na, Inc",30068,WTRC,Water Capital Program,DWU,Water Utilities,SCOR,"Service Centers, Offices And Research Facilities",QV,Contractual & Other Services,3438,Software Maint Fee,94610.0,ACCOUNTING AND BILLING SERVICES (INCLUDING PAYROLL SERVICES),,
118814,2024-12-10,2025,3,EFT-BMS-EY250016638,329247.64,VC28405,Estrada Concrete Company Llc,75141,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,THRF,Thoroughfares,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
118854,2024-12-10,2025,3,EFT-BMS-EY250016676,1391659.65,VS0000038315,Azteca Enterprises Llc,75212,OTGO,Other GO CIP - Non-Debt,PKR,Park & Recreation,RFSI,Recreation Facilities Site Improvement,RC,Capital Outlay,4112,Architectural Design,90625.0,DESIGN BUILD SERVICES,,
118986,2024-12-10,2025,3,EFT-BMS-EY250016805,416418.41,VS97685,"All City Management Services, Inc.",90084,GNFD,General Fund,MSH,City Marshal's Office,3065,Security Services,QV,Contractual & Other Services,3070,Professional Services,92471.0,SCHOOL OPERATION AND MANAGEMENT SERVICES,,
119588,2024-12-11,2025,3,EFT-BMS-EY250017256,1223322.36,VS96112,"Flatiron Constructors, Inc.",75038,AVRC,Aviation Capital Program.commercial paper,AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
119589,2024-12-11,2025,3,EFT-BMS-EY250017257,628569.4,VS96112,"Flatiron Constructors, Inc.",75038,AVRC,Aviation Capital Program.commercial paper,AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
120131,2024-12-12,2025,3,EFT-BMS-EY250017647,1011312.94,517440,Axon Enterprise Inc.,85255,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS17,Internal Radio Communication,QV,Contractual & Other Services,3440,IT Cloud Services,5512.0,"CAMERAS, VIDEO (FOR USE IN POLICE VEHICLES)",,
120371,2024-12-12,2025,3,EFT-BMS-EY250017882,833781.06,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
120417,2024-12-12,2025,3,EFT-BMS-EY250017928,376500.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,CVID,COVID-19,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4740,Motor Vehicles Cap,7003.0,AMBULANCES AND RESCUE VEHICLES,,
120418,2024-12-12,2025,3,EFT-BMS-EY250017929,376500.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,CVID,COVID-19,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4740,Motor Vehicles Cap,7003.0,AMBULANCES AND RESCUE VEHICLES,,
120419,2024-12-12,2025,3,EFT-BMS-EY250017930,376500.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,CVID,COVID-19,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4740,Motor Vehicles Cap,7003.0,AMBULANCES AND RESCUE VEHICLES,,
120423,2024-12-12,2025,3,EFT-BMS-EY250017932,469633.7,VS90299,Southland Mole Joint Venture,76262,BP12,2012 General Obligation Bond Program,TWM,Trinity Watershed Management,SDRS,Storm Drainage Relief System,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
120854,2024-12-13,2025,3,EFT-BMS-EY250018206,1335044.2,349633,Texas Commission On Environmental Quality,78711,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW20,Water's Price of Doing Business,QV,Contractual & Other Services,3099,Misc Special Services,,NONE,,
120930,2024-12-13,2025,3,EFT-BMS-EY250018281,429786.07,VC22918,Dallas Convention Center Hotel Development Corporation,75202,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3019,Section 380 Grant Expense,,NONE,,
121429,2024-12-16,2025,3,AD-BMS-AY250004607,328776.56,VC22058,Talley Riggins Construction Group Llc,75081,SWRC,Sewer Capital Program,DWU,Water Utilities,SCOR,"Service Centers, Offices And Research Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
121430,2024-12-16,2025,3,AD-BMS-AY250004607,328776.56,VC22058,Talley Riggins Construction Group Llc,75081,EFOP,Enterprise Operating Fund,SDM,Stormwater Drainage Management,SD01,Storm Water Drainage Management,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
121493,2024-12-16,2025,3,EFT-BMS-EY250018692,338033.32,261438,Dallas City Homes Inc,75203,CNPL,Consolidated Plan Funds,HOU,Housing/Community Services,HO91,Home Repair Loan Program,QV,Contractual & Other Services,3015,Development Loans,96179.0,"TRADE SERVICES (FACILITATION, INFORMATION, MARKETING, PROMOT",,
121518,2024-12-16,2025,3,EFT-BMS-EY250018714,314789.81,507202,"Syb Construction Co., Inc. ^",75061,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
121544,2024-12-16,2025,3,EFT-BMS-EY250018740,440198.0,518741,Houston Freightliner Inc.,77029,OTDB,Other GO CIP  - Debt,EFM,Equipment & Fleet Management,EQ04,City Fleet Maintenance And Repair Services,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
121545,2024-12-16,2025,3,EFT-BMS-EY250018741,1568903.3,519741,The Dallas Convention & Visitors Bureau,75201,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3320,Advertising,,NONE,,
121583,2024-12-16,2025,3,EFT-BMS-EY250018777,2143735.6,VC22987,Dallas Tourism Public Improvement District Corporation,75201,OTEC,Other-Economic Development,ECO,Office Of Economic Development,PIDC,Public Improvement District Collections,QV,Contractual & Other Services,3034,Public Improvement District Mgmt Fee,,NONE,,
121584,2024-12-16,2025,3,EFT-BMS-EY250018778,1453194.38,VC24588,"Roeschco Construction, Llc",75033,AVIC,Aviation Capital Program,AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
121645,2024-12-16,2025,3,EFT-BMS-EY250018838,514226.0,VS0000067075,Bridge Steps,75201,GNFD,General Fund,MGT,Management Services,,Miscellaneous,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
121646,2024-12-16,2025,3,EFT-BMS-EY250018839,2859243.63,VS0000075903,"Hammett Excavation, Inc",75438,SANC,Sanitation Capital Program,SAN,Sanitation Svcs,SWFA,Solid Waste Facilities,RC,Capital Outlay,4599,Other Improvements-other than Building,91223.0,"CONSTRUCTION, GENERAL (BACKFILL SERVICES, DIGGING, DITCHING,",,
121670,2024-12-16,2025,3,EFT-BMS-EY250018857,1860044.58,VS96112,"Flatiron Constructors, Inc.",75038,AVRC,Aviation Capital Program.commercial paper,AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
